"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,豐野里,1190,904901,12793,7622,792126,30957,3225,881,1018,40456,57,12516,271,2981,621530,734438,669
,上湖里,1683,1286132,18430,4177,1130368,33445,7471,3156,1574,70548,204,13837,0,2921,886325,1042535,491
,三湖里,846,649626,11980,4418,528419,17942,8158,1080,669,65064,251,10482,0,1164,408639,530287,124
,梅溪里,1215,1075864,18097,9853,896453,30454,7621,2398,906,81906,10852,14547,0,2777,725786,906266,215
,瑞塘里,1523,1156381,20782,11348,983665,36061,9294,3111,1053,79871,10,9631,0,1556,779931,953561,323
,埔心里,463,370449,7425,8976,276564,25524,12467,576,544,31965,0,3463,0,2945,223032,317373,172
,高山里,1292,1056788,12350,9447,929474,25499,7248,2531,1362,55385,13,11264,158,2054,743952,871852,1072
,高榮里,1025,1134046,10178,2780,646742,31056,18406,3653,785,412995,313,6778,0,361,507824,995129,50
,金龍里,342,241347,1345,1305,218762,7616,595,867,891,6892,167,2879,0,27,173449,196034,154
,四維里,1482,1574498,19722,32790,1300030,48174,10767,5590,1740,125548,984,26803,0,2349,1085027,1359495,722
,梅新里,705,584751,7350,7213,453874,29122,13486,978,564,66748,109,4548,0,758,363296,495099,184
,仁美里,1335,1018055,15938,14491,851606,52872,5149,4289,859,56777,256,13078,21,2719,677155,843603,698
,光華里,1037,791546,12413,9258,655457,41254,9719,1595,899,48345,1460,9453,0,1692,526607,662695,335
,大同里,1143,967217,16601,12636,783323,46344,9846,1362,1061,79671,1454,10992,0,3927,627835,812186,660
,中山里,1065,919121,20107,11954,739751,32106,15213,1275,947,87619,389,9137,0,622,596160,776427,177
,楊明里,1767,1615250,19090,15827,1375858,48150,21078,5906,2311,105361,443,19041,386,1799,1117961,1358691,1417
,金溪里,1340,2455062,30954,38004,1361670,63172,25805,4922,1479,840488,1022,27206,392,59948,1179776,2273511,1938
