"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
中西區,銀同里,329,301961,4433,8107,192082,24111,5754,2471,197,61901,0,2420,0,483,157692,267607,107
,福安里,328,512290,11814,18298,173719,23376,19591,3046,368,247501,0,1718,0,12860,144542,483113,342
,赤崁里,449,786074,22812,27555,238009,34822,18704,1103,961,377370,0,2060,0,62678,198078,746143,211
,法華里,930,979355,13393,43005,687235,64232,14366,1785,1129,142646,185,9877,531,973,582877,874982,3519
,郡王里,524,1230130,9479,31984,361591,50918,21251,1290,325,745992,1738,4403,0,1158,307814,1176353,691
,開山里,552,470700,6931,19523,291305,31206,10299,555,385,105782,0,3200,248,1267,235226,414373,867
,五妃里,634,637456,8203,13030,394838,60847,18550,1358,273,132577,803,6166,0,811,332795,575413,605
,大南里,457,661686,82827,22784,263800,48931,9866,364,246,227226,0,4984,249,410,219592,617475,1061
,小西里,213,174994,2925,7662,114316,6674,8995,93,157,32180,0,1824,0,167,92321,153001,234
,仙草里,769,639309,14331,18755,480955,43221,10701,1411,839,60696,18,7521,14,847,399276,557630,1038
,公正里,528,520262,9036,15892,315104,43593,25971,4226,370,89832,5174,4999,0,6066,265660,470818,588
,進學里,428,502570,7584,16451,305947,41360,19026,583,1143,105810,933,2812,0,921,264289,460912,630
,建國里,363,429278,13754,7246,172509,22340,21775,820,186,186319,0,2072,53,2203,140155,396924,501
,青年里,458,472472,10027,15890,272442,33302,20328,949,187,112295,1240,3410,0,2400,229797,429826,686
,永福里,450,910588,48547,15394,327588,28806,40560,5397,113,429584,361,12516,14,1709,286714,869149,953
,永華里,425,384151,5129,21400,238718,26779,14296,738,263,71476,62,3670,81,1539,196794,342227,640
,天后里,423,1330835,9338,14650,278107,33997,12901,487,149,976123,923,3591,22,546,238657,1292301,550
,三民里,426,389216,15330,15713,206476,33458,19427,1159,328,89756,901,5225,0,1443,167477,350217,620
,萬昌里,519,400554,12784,16362,254223,30565,17025,871,277,59184,5,6105,237,2917,205970,352301,1042
,普濟里,274,227945,8259,4765,141675,11524,13211,1016,105,46126,0,743,0,521,114896,201166,10
,水仙里,351,278207,7806,5498,180122,24169,18920,918,332,34886,0,2033,0,3523,147232,245317,542
,藥王里,1063,989871,18813,24426,669819,56242,25744,1646,838,180643,573,8650,153,2324,551062,871114,1197
,安海里,462,576122,19247,24224,294733,23868,12527,1976,443,186521,642,4995,203,6743,249127,530439,1463
,中正里,352,246239,10888,5620,152587,14255,20462,936,182,38413,0,2785,0,112,120731,214383,100
,民主里,294,190556,8632,5671,125270,11675,10828,700,104,25589,0,1452,0,636,97015,162301,108
,大涼里,942,837042,24685,22984,583325,45340,22359,1812,428,128859,474,4861,0,1915,479952,733669,1163
,元安里,361,284825,4957,8996,189624,18079,6921,489,254,42809,38,12220,129,310,155415,250616,653
,協進里,325,301262,13560,12535,208478,17829,5704,1112,153,38852,572,2350,0,116,171159,263943,128
,協和里,579,451456,18627,25649,297210,25469,15151,623,2002,63153,0,3256,55,260,239473,393719,383
