"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,崙雅里,699,449355,11916,5451,361124,15575,5198,466,365,41190,0,7096,0,973,275228,363459,316
,振興里,713,506580,18538,7969,388852,18895,7062,221,1399,48266,967,7394,0,7016,301560,420537,124
,林厝里,706,452226,10708,5688,370663,13870,5091,311,395,42120,69,2582,0,729,280194,361757,104
,出水里,381,244169,3641,5308,205845,7284,1247,307,246,18529,17,1734,0,10,155885,194208,79
,湖水里,292,185196,4625,1694,147100,6935,1214,60,585,21367,458,1036,0,121,109771,148423,0
,大峰里,188,120152,3864,1813,87257,2558,2661,38,91,21533,0,330,0,5,63607,96870,116
,鎮興里,454,297153,11143,7984,251321,9356,2449,630,233,11880,26,1765,0,366,195756,241588,58
,浮圳里,619,485222,4900,6615,373435,21925,2398,586,377,69827,66,3584,0,1509,296228,408015,87
,西東里,533,353974,13092,7634,287522,14208,2742,266,357,25901,75,1742,0,435,219718,286471,66
,南東里,496,330102,10321,4687,256055,12404,3951,257,184,38688,1520,1796,0,239,195460,269508,121
,中東里,453,317637,13326,5300,257043,10193,2351,223,504,24661,280,3432,0,324,199824,260822,90
,東北里,632,413731,13884,5737,341280,10867,2789,3107,374,32338,187,2612,0,556,261648,334555,56
,新生里,1356,1703953,49179,27793,782876,79001,40425,1963,1155,705226,488,14120,0,1728,629799,1551932,567
,三和里,2026,1797955,29863,53101,1326874,110293,19753,4292,1312,222339,1582,19056,1112,8378,1080694,1552342,2884
,南興里,1319,905092,21002,14502,722649,65743,4924,913,796,66431,282,6820,533,499,563181,745609,1578
,三愛里,960,1115525,15722,19470,651148,53469,20513,584,778,344496,352,6783,171,2038,535897,1000238,1522
,三信里,792,819104,14610,32578,496335,62179,31953,2072,629,168195,246,7356,0,2951,408488,731278,478
