"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
大埤鄉,北和村,160,125182,2259,3458,92974,6520,260,0,65,19009,0,635,0,1,75205,107412,6
,南和村,564,375569,11068,14769,282996,17790,9385,234,233,31728,40,5753,0,1573,219058,311631,140
,大德村,206,138107,2641,1400,118126,5272,362,328,120,8465,0,943,0,449,91470,111451,111
,松竹村,210,134131,4378,1867,107774,4340,837,0,126,12868,0,1937,0,3,81250,107606,112
,尚義村,417,264768,14097,4982,207829,11029,2411,32,182,22558,160,1181,0,308,159621,216559,9
,嘉興村,425,281675,8539,6219,235119,10831,992,825,218,16726,5,1334,0,866,185711,232267,9
,豐田村,400,267225,7267,1967,224156,6460,835,258,214,21810,0,4216,0,42,173794,216863,220
,三結村,283,169411,5853,1285,145617,5986,510,88,77,8539,7,900,0,550,112493,136287,6
,吉田村,163,96139,2345,2077,80204,3457,266,128,93,5392,0,683,0,1494,61296,77231,46
,豐岡村,131,86332,305,2620,73008,3167,440,63,75,6201,0,331,0,120,56391,69714,0
,聯美村,241,147630,1757,144,131399,4063,1449,32,67,6610,0,1773,94,243,100963,117194,321
,怡然村,155,128604,1989,2273,99962,6537,264,202,39,16558,0,781,0,0,80967,109609,123
,北鎮村,117,71911,2240,925,56633,3132,403,352,30,7933,0,264,0,0,42932,58210,1
,興安村,122,87038,3210,306,71369,2887,895,263,75,6828,49,1110,0,46,55999,71669,0
,西鎮村,125,75775,1966,1082,62560,2461,198,0,202,6978,0,322,0,7,49085,62300,2
,其　他,1,1047,0,0,1022,25,0,0,0,0,0,0,0,0,914,939,0
,合　計,3720,2450542,69913,45374,1990748,93957,19506,2803,1816,198203,262,22166,94,5701,1547149,2006943,1105
莿桐鄉,莿桐村,1069,756352,35083,18335,564168,44239,8469,1222,816,73997,0,7601,27,2394,443003,635187,430
,甘厝村,190,119715,6434,1944,90201,3531,368,46,39,16430,0,720,0,2,69474,98988,19
,甘西村,347,213715,10248,1613,175898,8398,657,188,134,14927,0,1335,0,318,135639,173456,27
,興桐村,267,154877,4553,1750,124974,9379,1116,121,82,11567,0,1261,0,74,95264,125166,28
,義和村,205,303169,6346,1050,115354,5222,2207,67,91,171740,0,1016,0,76,91719,279534,32
,埔子村,465,304546,8088,2675,241539,12841,2239,173,226,33925,21,2563,0,258,186489,249496,18
,大美村,807,570699,12324,4779,480092,21411,5017,379,365,36872,536,5924,190,2810,377284,467891,577
,埔尾村,341,200397,4479,1340,166209,7706,840,106,121,17395,799,636,0,765,124999,159187,15
,饒平村,301,189285,7375,3059,154992,8904,1255,110,124,11071,0,2276,0,119,122223,156516,0
,興貴村,447,316212,13850,4412,256871,10789,884,783,364,23734,0,4228,0,298,204505,263846,27
,四合村,382,249925,8740,2621,210843,9946,1204,190,222,12248,0,2764,0,1148,163373,202455,39
,麻園村,299,190664,3185,6109,157591,7700,1296,176,99,12900,545,1027,0,36,122401,155475,31
,五華村,269,144419,4343,2107,123080,5070,361,0,158,7094,0,2191,0,15,92778,114117,0
,六合村,459,272524,11275,1903,225603,8632,1350,195,185,20387,0,2702,0,293,169797,216718,124
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5848,3986500,136321,53698,3087415,163767,27263,3756,3026,464286,1901,36243,217,8606,2398946,3298031,1366
林內鄉,林南村,271,186215,3116,2707,155270,11077,417,92,144,11987,0,1265,0,141,119190,150136,12
,林中村,1021,673441,18744,9616,560451,35929,2486,404,403,39268,20,4798,0,1321,434011,547001,433
,林北村,565,338614,6862,3007,296657,13981,1649,461,317,11680,759,3203,0,36,227633,269590,173
,坪頂村,95,63832,2948,268,48501,1895,271,28,234,9354,0,227,0,106,36874,52206,10
,林茂村,172,107629,6476,971,89255,4649,276,20,163,5143,0,645,0,30,67878,86251,17
,湖本村,147,82448,3795,71,72424,1409,151,97,102,4037,0,361,0,2,55724,65748,0
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,九芎村,642,398424,8010,4974,334124,11421,993,88,243,35883,0,2412,0,274,252279,316578,174
,烏塗村,314,184245,1610,453,162777,5170,1025,145,60,11341,0,1601,0,63,122823,144292,8
,烏麻村,261,152120,4340,818,131136,4315,2060,143,81,6735,0,1257,0,1235,99226,120209,32
,重興村,430,278480,11687,4089,228995,8680,900,380,326,20288,0,2521,2,612,177015,226500,230
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3918,2465447,67589,26974,2079591,98525,10228,1857,2074,155718,779,18291,2,3819,1592653,1978510,1088
二崙鄉,崙東村,321,253342,2272,3515,198688,14678,1606,1000,395,29286,15,1558,0,329,160936,215607,83
