"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,大義村,310,230868,7988,4503,182721,7903,2179,1105,233,22750,361,1027,0,97,146415,194607,120
,尾塹村,384,274773,8047,8976,214196,15222,3353,1148,305,19085,18,3547,12,865,166565,227143,359
,尚武村,176,108288,6276,642,88496,3150,1075,121,136,6710,0,1073,0,608,65703,85495,26
,天山村,126,88008,4561,3938,63417,3665,1730,69,77,10248,0,264,0,40,48809,73399,9
,天福村,137,91521,2834,97,74268,5691,1421,292,20,4278,0,2177,0,443,58365,75617,10
,員山村,59,34293,1511,67,30459,813,0,41,56,1275,0,71,0,0,23247,27080,0
"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4590,3282699,120099,61460,2592722,137610,51686,12927,3546,261095,2594,31333,237,7389,2031880,2721902,3020
大同鄉,寒溪村,171,106481,1872,2106,89495,2229,6531,114,60,3605,0,425,0,44,68927,85913,32
,松羅村,108,67891,706,637,63285,1470,625,0,57,469,0,642,0,0,48929,53535,4
,土場村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,太平村,11,5043,103,0,4249,233,21,0,0,430,0,8,0,0,3199,3994,0
